license,startup,phd_age,researcher_interaction,firm_cash,firm_in-kind,firm_interaction,number_of_firms,research_capacity,university_faculty,university_operations,reputation_ranking,faculty_awards,research_ranking,invention_disclosures,tto_experience,tto_staff,funding,length,distance,commercialization,staff,mid-level,full_professor,distinguished,male,female,micro,small,medium,large,university,creator,cit,mm,eet,photonics,earliest,mid-stage,latest,new_school,rising_star,laggard,old_school,firm_total,proj_funding,monthly,lt15,gte15,inventions_staff,research_faculty,in-kind_ratio
0,1,16,1,22421,34305,1,3,21417000,1034,9440,8,3.6,13,0,28,15,65326,19,244,1,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,56726,122052,9388.615385,0,1,0,20712.76596,0.525135474
0,1,9,1,0,25306,0,3,21417000,1034,9440,8,3.6,13,0,28,15,50332,9,479,1,0,0,1,0,1,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,25306,75638,2292.060606,1,0,0,20712.76596,0.502781531
0,1,24,1,0,31092,2,2,52352000,931,8847,12,7.2,16,57,25,5.6,55656,11,677,1,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1,31092,86748,3943.090909,0,1,10.17857143,56232.00859,0.558645968
0,1,5,0,7988,36468,2,1,141384000,908,11225,14,2.8,8,63,23,8.8,63999,2,631,1,0,0,1,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,1,0,0,44456,108455,7746.785714,1,0,7.159090909,155709.2511,0.569821404
0,1,25,1,57732,26715,1,1,21417000,1034,9440,8,3.6,13,0,28,15,56930,7,143,1,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,84447,141377,5236.185185,0,1,0,20712.76596,0.469260495
0,1,,1,21598,21092,2,2,21417000,1034,9440,8,3.6,13,0,28,15,41950,5,369,1,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,42690,84640,2227.368421,1,0,0,20712.76596,0.502789035
0,1,8,0,6282,25306,1,2,302765000,1039,10798,7,1.6,2,48,23,9.4,50332,19,721,1,0,1,0,0,1,0,0,0,0,1,0,1,1,0,0,0,1,0,0,1,0,0,0,31588,81920,2482.424242,1,0,5.106382979,291400.385,0.502781531
0,1,6,1,15241,29471,0,3,80498000,1573,10555,11,3,1,110,18,4.4,48846,19,412,1,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,44712,93558,2673.085714,1,0,25,51174.82517,0.603345207
0,1,11,2,7064,80219,1,3,154062000,1598,11470,3,4.2,6,113,22,3.3,64682,3,383,1,0,0,1,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,87283,151965,10131,1,0,34.24242424,96409.26158,1.240205931
0,1,28,2,0,77793,2,3,21417000,1034,9440,8,3.6,13,0,28,15,67598,13,124,1,0,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,77793,145391,9692.733333,0,1,0,20712.76596,1.150818072
0,1,14,1,63165,54284,1,3,141384000,908,11225,14,2.8,8,63,23,8.8,62288,23,418,1,0,0,1,0,1,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,117449,179737,10572.76471,1,0,7.159090909,155709.2511,0.871500128
0,1,15,0,72150,58866,1,2,21417000,1034,9440,8,3.6,13,0,28,15,58540,14,333,1,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,131016,189556,27079.42857,0,1,0,20712.76596,1.005568842
0,1,,1,13089,44528,1,2,423384000,1778,13152,10,6.6,15,63,21,7.6,41950,6,111,1,0,0,1,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,1,0,0,57617,99567,2620.184211,1,0,8.289473684,238123.7345,1.061454112
0,1,10,2,5257,52704,1,1,231197000,552,11621,16,7.9,14,50,16,5.7,48133,19,530,1,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,57961,106094,21218.8,1,0,8.771929825,418835.1449,1.094966032
0,1,21,0,41292,40946,2,2,423384000,1778,13152,10,6.6,15,63,21,7.6,40719,10,624,1,0,1,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,82238,122957,3235.710526,0,1,8.289473684,238123.7345,1.005574793
0,1,18,1,27250,59269,2,2,29260000,941,10951,9,5.8,4,63,8,7.9,64690,7,993,1,0,0,1,0,0,1,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,86519,151209,7958.368421,0,1,7.974683544,31094.58023,0.91620034
0,1,14,1,61382,70194,0,4,154062000,1598,11470,3,4.2,6,113,22,3.3,63459,7,837,1,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,131576,195035,10265,1,0,34.24242424,96409.26158,1.106131518
0,1,9,0,8232,54134,1,2,225719000,1550,10654,4,4.3,10,59,16,9.2,47971,16,1214,1,0,0,1,0,1,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,62366,110337,22067.4,1,0,6.413043478,145625.1613,1.128473453
0,1,21,2,0,55747,0,2,29260000,941,10951,9,5.8,4,63,8,7.9,57349,4,199,1,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,55747,113096,4349.846154,0,1,7.974683544,31094.58023,0.972065773
0,1,16,1,0,75170,2,2,37237000,691,10281,5,5.2,9,27,14,13.4,64690,22,155,1,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,75170,139860,7361.052632,0,1,2.014925373,53888.56729,1.162003401
0,1,,2,11102,74447,2,1,302765000,1039,10798,7,1.6,2,48,23,9.4,64690,25,130,1,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,85549,150239,7907.315789,1,0,5.106382979,291400.385,1.150827021
0,1,11,1,10036,55342,1,1,29260000,941,10951,9,5.8,4,63,8,7.9,64327,10,842,1,0,0,1,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,1,0,0,65378,129705,8106.5625,1,0,7.974683544,31094.58023,0.860323037
0,1,,1,9840,90529,2,1,231197000,552,11621,16,7.9,14,50,16,5.7,48518,6,785,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,1,0,0,0,100369,148887,49629,1,0,8.771929825,418835.1449,1.865884826
0,1,16,1,44727,120848,2,1,58692000,1057,8915,15,8.8,11,10,12,0.2,65157,17,651,1,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,0,165575,230732,23073.2,0,1,50,55526.9631,1.854720138
0,1,2,1,26935,114409,1,2,220939000,1178,11504,13,9.9,18,47,10,11.7,59534,6,322,1,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,141344,200878,11816.35294,1,0,4.017094017,187554.3294,1.921742198
0,1,13,2,11404,115085,1,2,423384000,1778,13152,10,6.6,15,63,21,7.6,66453,19,766,1,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,126489,192942,19294.2,1,0,8.289473684,238123.7345,1.731825501
0,1,16,1,4007,111356,3,1,21417000,1034,9440,8,3.6,13,0,28,15,51374,2,704,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,115363,166737,33347.4,0,1,0,20712.76596,2.167555573
0,1,3,9,56415,88151,2,2,423384000,1778,13152,10,6.6,15,63,21,7.6,65747,5,667,1,0,0,1,0,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,144566,210313,16177.92308,1,0,8.289473684,238123.7345,1.340760795
0,1,,1,27534,42358,4,3,141384000,908,11225,14,2.8,8,63,23,8.8,65364,16,749,1,0,0,1,0,1,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,69892,135256,8453.5,1,0,7.159090909,155709.2511,0.648032556
0,1,23,1,42151,0,1,2,141384000,908,11225,14,2.8,8,63,23,8.8,41566,4,1166,1,0,1,0,0,1,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,1,0,42151,83717,2092.925,0,1,7.159090909,155709.2511,0
0,1,9,3,95643,8879,4,3,141384000,908,11225,14,2.8,8,63,23,8.8,56764,4,1118,1,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,104522,161286,6451.44,1,0,7.159090909,155709.2511,0.156419562
